predictor,normalization,k,scope,checkpoint,n,spearman_r,spearman_p,pearson_r,pearson_p,layer_collapse,ckpt_collapse
abs_diff,transfer_score,0,per_ckpt,126B,72,-0.0854,0.6214,-0.0533,0.6603,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,136B,72,-0.0802,0.6094,-0.0703,0.5524,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,147B,72,-0.0694,0.6853,-0.0622,0.5974,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,157B,72,-0.0653,0.7143,-0.0501,0.6723,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,168B,72,-0.062,0.7283,-0.046,0.6873,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,178B,72,-0.0642,0.7123,-0.0533,0.6553,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,189B,72,-0.0355,0.8202,-0.0454,0.6973,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,199B,72,-0.076,0.6673,-0.0517,0.6613,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,210B,72,-0.0672,0.7033,-0.0504,0.6663,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,220B,72,-0.0716,0.6883,-0.0542,0.6424,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,231B,72,-0.0565,0.7473,-0.0566,0.6334,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,241B,72,-0.098,0.5564,-0.0764,0.5135,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,252B,72,-0.0829,0.6344,-0.0697,0.5514,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,262B,72,-0.0672,0.7023,-0.0547,0.6444,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,273B,72,-0.0697,0.6713,-0.0549,0.6454,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,283B,72,-0.065,0.7003,-0.0519,0.6623,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,294B,72,-0.0578,0.7552,-0.0723,0.5365,average_rankme,none
