predictor,normalization,k,scope,checkpoint,n,spearman_r,spearman_p,pearson_r,pearson_p,layer
drop_to_min_min,transfer_margin_str,0,pooled,,72,0.1755,0.1403,0.2712,0.0212,layer_29
drop_to_min_min,overall_margin_str,0,pooled,,72,0.4541,0.0001,0.4893,0.0,layer_29
drop_to_min_min,accuracy_gpt-5-mini,0,pooled,,72,0.2132,0.0722,0.235,0.0469,layer_29
drop_to_min_min,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,0.1419,0.2344,0.163,0.1712,layer_29
drop_to_min_min,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,0.1983,0.095,0.1853,0.1192,layer_29
drop_to_min_max,accuracy_majority,0,pooled,,72,0.1172,0.3269,0.1139,0.341,layer_29
drop_to_min_max,overall_score,0,pooled,,72,-0.0108,0.9281,0.0197,0.8696,layer_29
drop_to_min_max,transfer_score,0,pooled,,72,-0.0399,0.7395,-0.0868,0.4686,layer_29
drop_to_min_max,transfer_score_str,0,pooled,,72,-0.1957,0.0995,-0.1459,0.2212,layer_29
drop_to_min_max,overall_score_str,0,pooled,,72,-0.1534,0.1982,-0.0725,0.5448,layer_29
drop_to_min_max,transfer_margin_str,0,pooled,,72,0.077,0.5205,0.107,0.3712,layer_29
drop_to_min_max,overall_margin_str,0,pooled,,72,-0.0065,0.9569,0.0635,0.5961,layer_29
drop_to_min_max,accuracy_gpt-5-mini,0,pooled,,72,0.1148,0.3369,0.1033,0.3879,layer_29
drop_to_min_max,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,0.0031,0.9797,-0.0058,0.9613,layer_29
drop_to_min_max,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,0.1937,0.1031,0.2444,0.0385,layer_29
drop_to_min_norm_asym,accuracy_majority,0,pooled,,72,-0.0909,0.4477,-0.0615,0.6079,layer_29
drop_to_min_norm_asym,overall_score,0,pooled,,72,0.0347,0.7723,0.0767,0.5222,layer_29
drop_to_min_norm_asym,transfer_score,0,pooled,,72,0.0036,0.9759,-0.0284,0.8129,layer_29
drop_to_min_norm_asym,transfer_score_str,0,pooled,,72,-0.3493,0.0026,-0.3301,0.0046,layer_29
drop_to_min_norm_asym,overall_score_str,0,pooled,,72,-0.1307,0.2736,-0.0766,0.5224,layer_29
drop_to_min_norm_asym,transfer_margin_str,0,pooled,,72,-0.0159,0.8946,-0.0178,0.8819,layer_29
drop_to_min_norm_asym,overall_margin_str,0,pooled,,72,0.0471,0.6944,0.06,0.6164,layer_29
drop_to_min_norm_asym,accuracy_gpt-5-mini,0,pooled,,72,-0.022,0.8546,0.0107,0.9289,layer_29
drop_to_min_norm_asym,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,-0.0855,0.4753,-0.0163,0.8921,layer_29
drop_to_min_norm_asym,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,-0.1414,0.2361,-0.0823,0.4917,layer_29
drop_to_min_abs_ratio,accuracy_majority,0,pooled,,72,-0.1537,0.1973,-0.2002,0.0918,layer_29
drop_to_min_abs_ratio,overall_score,0,pooled,,72,-0.0968,0.4188,-0.1557,0.1916,layer_29
drop_to_min_abs_ratio,transfer_score,0,pooled,,72,-0.0674,0.5739,-0.0866,0.4694,layer_29
drop_to_min_abs_ratio,transfer_score_str,0,pooled,,72,-0.3368,0.0038,-0.2405,0.0419,layer_29
drop_to_min_abs_ratio,overall_score_str,0,pooled,,72,-0.4021,0.0005,-0.3507,0.0025,layer_29
drop_to_min_abs_ratio,transfer_margin_str,0,pooled,,72,-0.2073,0.0805,-0.1626,0.1725,layer_29
drop_to_min_abs_ratio,overall_margin_str,0,pooled,,72,-0.5493,0.0,-0.4039,0.0004,layer_29
drop_to_min_abs_ratio,accuracy_gpt-5-mini,0,pooled,,72,-0.1608,0.1773,-0.1791,0.1322,layer_29
drop_to_min_abs_ratio,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,-0.1565,0.1894,-0.1331,0.2649,layer_29
drop_to_min_abs_ratio,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,-0.054,0.6521,-0.0504,0.6741,layer_29
drop_to_min_signed_ratio,accuracy_majority,0,pooled,,72,-0.0909,0.4477,-0.1093,0.3606,layer_29
drop_to_min_signed_ratio,overall_score,0,pooled,,72,0.0347,0.7723,0.0214,0.8585,layer_29
drop_to_min_signed_ratio,transfer_score,0,pooled,,72,0.0036,0.9759,-0.0478,0.6899,layer_29
drop_to_min_signed_ratio,transfer_score_str,0,pooled,,72,-0.3493,0.0026,-0.3824,0.0009,layer_29
drop_to_min_signed_ratio,overall_score_str,0,pooled,,72,-0.1307,0.2736,-0.1799,0.1304,layer_29
drop_to_min_signed_ratio,transfer_margin_str,0,pooled,,72,-0.0159,0.8946,-0.0749,0.5318,layer_29
drop_to_min_signed_ratio,overall_margin_str,0,pooled,,72,0.0471,0.6944,-0.0766,0.5227,layer_29
drop_to_min_signed_ratio,accuracy_gpt-5-mini,0,pooled,,72,-0.022,0.8546,-0.0342,0.7752,layer_29
drop_to_min_signed_ratio,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,-0.0855,0.4753,-0.0233,0.846,layer_29
drop_to_min_signed_ratio,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,-0.1414,0.2361,-0.0689,0.5653,layer_29
drop_to_min_log_ratio,accuracy_majority,0,pooled,,72,-0.0909,0.4477,-0.0572,0.6331,layer_29
drop_to_min_log_ratio,overall_score,0,pooled,,72,0.0347,0.7723,0.0773,0.5186,layer_29
drop_to_min_log_ratio,transfer_score,0,pooled,,72,0.0036,0.9759,-0.0237,0.8435,layer_29
drop_to_min_log_ratio,transfer_score_str,0,pooled,,72,-0.3493,0.0026,-0.3308,0.0045,layer_29
drop_to_min_log_ratio,overall_score_str,0,pooled,,72,-0.1307,0.2736,-0.0763,0.524,layer_29
drop_to_min_log_ratio,transfer_margin_str,0,pooled,,72,-0.0159,0.8946,-0.0226,0.8508,layer_29
drop_to_min_log_ratio,overall_margin_str,0,pooled,,72,0.0471,0.6944,0.0565,0.6372,layer_29
drop_to_min_log_ratio,accuracy_gpt-5-mini,0,pooled,,72,-0.022,0.8546,0.0143,0.9051,layer_29
drop_to_min_log_ratio,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,-0.0855,0.4753,-0.0071,0.953,layer_29
drop_to_min_log_ratio,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,-0.1414,0.2361,-0.0748,0.5321,layer_29
recovery_abs_diff,accuracy_majority,0,pooled,,72,-0.147,0.2178,-0.1489,0.2119,layer_29
recovery_abs_diff,overall_score,0,pooled,,72,-0.1225,0.3053,-0.1182,0.3228,layer_29
recovery_abs_diff,transfer_score,0,pooled,,72,-0.1254,0.294,-0.1114,0.3515,layer_29
recovery_abs_diff,transfer_score_str,0,pooled,,72,-0.1049,0.3807,-0.1389,0.2447,layer_29
recovery_abs_diff,overall_score_str,0,pooled,,72,-0.1054,0.3783,-0.123,0.3035,layer_29
